id;adi_soyadi;ogr_no;cinsiyeti;dogum_tarihi
1;Grocery Industrial;30780;false;2023-03-24T21:00:15
2;Integrated Consultant Portugal;46836;false;2023-03-24T13:35:15
3;Barthelemy application Toys;62042;false;2023-03-24T14:38:18
4;bandwidth Utah;79051;true;2023-03-24T15:53:11
5;Bolivia matrix;60452;false;2023-03-25T05:11:06
6;Towels haptic Investor;19206;false;2023-03-25T09:19:51
7;Peso;24783;true;2023-03-24T20:50:43
8;installation;91800;true;2023-03-25T00:03:40
9;Refined Identity driver;62915;false;2023-03-25T12:23:25
10;Franc generate;56951;true;2023-03-24T14:18:49
